"","date","grupo","FOB.Sum"
"1",2014-12-01,NA,7235441472.2
"2",2014-12-01,"TODO 2710",520809253.92
"3",2014-12-01,"Gasolina licuado de petroleo",41361.9
"4",2014-12-01,"Gas Natural",6338.55
"5",2011-01-01,NA,3614718661.69
"6",2011-01-01,"TODO 2710",266989578.28
"7",2011-01-01,"Gasolina licuado de petroleo",1764157.37
"8",2011-02-01,NA,3695689348.83
"9",2011-02-01,"TODO 2710",362032217.31
"10",2011-02-01,"Gasolina licuado de petroleo",925366.72
"11",2011-03-01,NA,4868929638.56
"12",2011-03-01,"TODO 2710",173282671.99
"13",2011-03-01,"Gasolina licuado de petroleo",929618.83
"14",2011-04-01,NA,4173266036.86
"15",2011-04-01,"TODO 2710",397226574.54
"16",2011-04-01,"Gasolina licuado de petroleo",970947.49
"17",2011-05-01,NA,4969443784.69
"18",2011-05-01,"TODO 2710",372565775.97
"19",2011-05-01,"Gasolina licuado de petroleo",48662.57
"20",2011-06-01,NA,4624146740.08
"21",2011-06-01,"TODO 2710",355801101.38
"22",2011-06-01,"Gasolina licuado de petroleo",40272.52
"23",2011-07-01,NA,4657157260.66
"24",2011-07-01,"TODO 2710",254105520.94
"25",2011-07-01,"Gasolina licuado de petroleo",57100.92
"26",2011-08-01,NA,4842012954.13
"27",2011-08-01,"TODO 2710",236855266.8
"28",2011-08-01,"Gasolina licuado de petroleo",1583948.86
"29",2011-08-01,"Gas Natural",8325
"30",2011-09-01,NA,5195586380.12
"31",2011-09-01,"TODO 2710",378186484.16
"32",2011-09-01,"Gas Natural",3071.3
"33",2011-09-01,"Gasolina licuado de petroleo",881744.17
"34",2011-10-01,NA,5228733724.52
"35",2011-10-01,"TODO 2710",345052088.98
"36",2011-10-01,"Gasolina licuado de petroleo",2395392.61
"37",2011-11-01,NA,5204953749.07
"38",2011-11-01,"TODO 2710",458399111.47
"39",2011-11-01,"Gasolina licuado de petroleo",2334492.85
"40",2011-12-01,NA,4861573947.57
"41",2011-12-01,"TODO 2710",112811699.07
"42",2011-12-01,"Gasolina licuado de petroleo",2503249.45
"43",2011-12-01,"Gas Natural",1264.3
"44",2012-01-01,NA,3671539751.74
"45",2012-01-01,"TODO 2710",560482919.22
"46",2012-01-01,"Gasolina licuado de petroleo",18976.25
"47",2012-02-01,NA,3978400883.99
"48",2012-02-01,"TODO 2710",381539827.56
"49",2012-02-01,"Gasolina licuado de petroleo",28229.74
"50",2012-02-01,"Gas Natural",1360
"51",2012-03-01,NA,4277714038.27
"52",2012-03-01,"TODO 2710",482385902.03
"53",2012-03-01,"Gasolina licuado de petroleo",57548.09
"54",2012-04-01,NA,3890448471.99
"55",2012-04-01,"TODO 2710",331494160.85
"56",2012-04-01,"Gasolina licuado de petroleo",37822.58
"57",2012-05-01,NA,4555451970.18
"58",2012-05-01,"TODO 2710",663341177.58
"59",2012-05-01,"Gasolina licuado de petroleo",56265
"60",2012-06-01,NA,4236161987.64
"61",2012-06-01,"TODO 2710",608151189.59
"62",2012-06-01,"Gasolina licuado de petroleo",54388.75
"63",2012-07-01,NA,4373427737.5
"64",2012-07-01,"TODO 2710",565278028.16
"65",2012-07-01,"Gasolina licuado de petroleo",43486.08
"66",2012-08-01,NA,4648511525.61
