"","date","grupo","FOB.Sum"
"1",2014-12-01,NA,7532262925.35
"2",2014-12-01,"Gasolina licuado de petroleo",41361.9
"3",2014-12-01,"Otro Kerosene",10971481.95
"4",2014-12-01,"Gas/Diesel/Fuel Oil",213016318.82
"5",2014-12-01,"Gas Natural",6338.55
"6",2011-01-01,NA,3712189343.13
"7",2011-01-01,"Gasolina motor",16480763.88
"8",2011-01-01,"Gas/Diesel/Fuel Oil",152835183.76
"9",2011-01-01,"Querosene.Jet Fuel",202949.2
"10",2011-01-01,"Gasolina licuado de petroleo",1764157.37
"11",2011-02-01,NA,3813739033.52
"12",2011-02-01,"Gasolina licuado de petroleo",925366.72
"13",2011-02-01,"Gas/Diesel/Fuel Oil",197453381.24
"14",2011-02-01,"Gasolina motor",46528956.38
"15",2011-02-01,"Otro Kerosene",195
"16",2011-03-01,NA,4973525807.03
"17",2011-03-01,"Gasolina motor",338824.12
"18",2011-03-01,"Gas/Diesel/Fuel Oil",68347508.7
"19",2011-03-01,"Gasolina aviación",170.7
"20",2011-03-01,"Gasolina licuado de petroleo",929618.83
"21",2011-04-01,NA,4306984348.44
"22",2011-04-01,"Gasolina licuado de petroleo",970947.49
"23",2011-04-01,"Gas/Diesel/Fuel Oil",256056620.69
"24",2011-04-01,"Gasolina motor",7092932.63
"25",2011-04-01,"Otro Kerosene",4
"26",2011-04-01,"Querosene.Jet Fuel",358705.64
"27",2011-05-01,NA,5066880060.32
"28",2011-05-01,"Gasolina licuado de petroleo",48662.57
"29",2011-05-01,"Gasolina motor",18215776.4
"30",2011-05-01,"Otro Kerosene",913.52
"31",2011-05-01,"Gas/Diesel/Fuel Oil",256508313.02
"32",2011-05-01,"Querosene.Jet Fuel",404497.4
"33",2011-06-01,NA,4772947983.91
"34",2011-06-01,"Gasolina licuado de petroleo",40272.52
"35",2011-06-01,"Gasolina motor",38244333.54
"36",2011-06-01,"Gas/Diesel/Fuel Oil",168755483.01
"37",2011-06-01,"Gasolina aviación",41
"38",2011-07-01,NA,4802314795.97
"39",2011-07-01,"Gasolina motor",12652378.95
"40",2011-07-01,"Gas/Diesel/Fuel Oil",96295606.68
"41",2011-07-01,"Gasolina licuado de petroleo",57100.92
"42",2011-08-01,NA,5002093567.84
"43",2011-08-01,"Gasolina motor",8221401.68
"44",2011-08-01,"Gas/Diesel/Fuel Oil",68553251.41
"45",2011-08-01,"Gasolina licuado de petroleo",1583948.86
"46",2011-08-01,"Gas Natural",8325
"47",2011-09-01,NA,5303168854.89
"48",2011-09-01,"Gasolina motor",44960934.02
"49",2011-09-01,"Gas/Diesel/Fuel Oil",225643075.37
"50",2011-09-01,"Gas Natural",3071.3
"51",2011-09-01,"Gasolina licuado de petroleo",881744.17
"52",2011-10-01,NA,5370351693.76
"53",2011-10-01,"Gasolina motor",42872901.33
"54",2011-10-01,"Gas/Diesel/Fuel Oil",160549224.54
"55",2011-10-01,"Gasolina aviación",11989.87
"56",2011-10-01,"Otro Kerosene",4
"57",2011-10-01,"Gasolina licuado de petroleo",2395392.61
"58",2011-11-01,NA,5365134417.14
"59",2011-11-01,"Gasolina motor",32240261.01
"60",2011-11-01,"Otro Kerosene",816.65
"61",2011-11-01,"Gas/Diesel/Fuel Oil",265977365.74
"62",2011-11-01,"Gasolina licuado de petroleo",2334492.85
"63",2011-12-01,NA,4927582531.36
"64",2011-12-01,"Gasolina motor",20796074.42
"65",2011-12-01,"Gas/Diesel/Fuel Oil",26007040.86
"66",2011-12-01,"Gasolina licuado de petroleo",2503249.45
"67",2011-12-01,"Gas Natural",1264.3
"68",2012-01-01,NA,3902607877.38
"69",2012-01-01,"Gas/Diesel/Fuel Oil",329414793.58
"70",2012-01-01,"Gasolina licuado de petroleo",18976.25
"71",2012-02-01,NA,4201181049.98
"72",2012-02-01,"Gas/Diesel/Fuel Oil",158448702.82
"73",2012-02-01,"Gasolina licuado de petroleo",28229.74
"74",2012-02-01,"Gas Natural",1360
"75",2012-02-01,"Querosene.Jet Fuel",310958.75
"76",2012-03-01,NA,4558026427.87
"77",2012-03-01,"Gas/Diesel/Fuel Oil",202073512.43
"78",2012-03-01,"Gasolina licuado de petroleo",57548.09
"79",2012-04-01,NA,4072527134.81
"80",2012-04-01,"Gas/Diesel/Fuel Oil",149415498.03
"81",2012-04-01,"Gasolina licuado de petroleo",37822.58
"82",2012-05-01,NA,4833753395.97
"83",2012-05-01,"Gas/Diesel/Fuel Oil",385039751.79
"84",2012-05-01,"Gasolina licuado de petroleo",56265
"85",2012-06-01,NA,4481977872.02
"86",2012-06-01,"Gas/Diesel/Fuel Oil",362335305.21
"87",2012-06-01,"Gasolina licuado de petroleo",54388.75
"88",2012-07-01,NA,4638612235.44
"89",2012-07-01,"Gas/Diesel/Fuel Oil",300093529.22
"90",2012-07-01,"Gasolina licuado de petroleo",43486.08
"91",2012-07-01,"Otro Kerosene",1
"92",2012-08-01,NA,4772614670.5
"93",2012-08-01,"Gas/Diesel/Fuel Oil",191553736.03
"94",2012-08-01,"Gasolina licuado de petroleo",71453.98
"95",2012-08-01,"Gas Natural",770
"96",2012-09-01,NA,4164390278.97
"97",2012-09-01,"Gas/Diesel/Fuel Oil",267963542.17
"98",2012-09-01,"Gasolina licuado de petroleo",34173.2
"99",2012-10-01,NA,4721615218.99
"100",2012-10-01,"Gas/Diesel/Fuel Oil",224482761.86
"101",2012-10-01,"Gasolina licuado de petroleo",34306.4
"102",2012-11-01,NA,4648809488.94
"103",2012-11-01,"Gas/Diesel/Fuel Oil",222130435.26
"104",2012-11-01,"Gasolina licuado de petroleo",66842.6
"105",2012-12-01,NA,4219569963.83
"106",2012-12-01,"Gas/Diesel/Fuel Oil",92547854.96
"107",2012-12-01,"Gasolina licuado de petroleo",146494.4
"108",2013-01-01,NA,5338680263.3
"109",2013-01-01,"Gas/Diesel/Fuel Oil",425463053.97
"110",2013-01-01,"Gasolina licuado de petroleo",65323.38
"111",2013-01-01,"Gas Natural",7950
"112",2013-02-01,NA,5303742560.37
"113",2013-02-01,"Gas/Diesel/Fuel Oil",251321008.05
"114",2013-02-01,"Gasolina licuado de petroleo",98384.59
"115",2013-03-01,NA,5511200190.33
"116",2013-03-01,"Gas/Diesel/Fuel Oil",246168301.56
"117",2013-03-01,"Gasolina licuado de petroleo",64754
"118",2013-04-01,NA,5886739725.92
"119",2013-04-01,"Gas/Diesel/Fuel Oil",159945593.76
"120",2013-04-01,"Gasolina licuado de petroleo",71633.92
"121",2013-04-01,"Gas Natural",1687.3
"122",2013-05-01,NA,5342062197.17
"123",2013-05-01,"Gas/Diesel/Fuel Oil",345440930.58
"124",2013-05-01,"Otro Kerosene",15521.39
"125",2013-05-01,"Gasolina licuado de petroleo",35252.25
"126",2013-06-01,NA,5739255542.74
"127",2013-06-01,"Gas/Diesel/Fuel Oil",182847194.43
"128",2013-06-01,"Gasolina licuado de petroleo",34066.68
